id,category_alias,category_title
5IGFJRN06HiclnivxaFThQ,spanish,Spanish
5IGFJRN06HiclnivxaFThQ,basque,Basque
edoYWAuw3lCsNAUr_8id2w,bbq,Barbeque
edoYWAuw3lCsNAUr_8id2w,dominican,Dominican
edoYWAuw3lCsNAUr_8id2w,foodstands,Food Stands
qnkdR4GDnQ7b-jDAfD5HUg,tapas,Tapas Bars
qnkdR4GDnQ7b-jDAfD5HUg,wine_bars,Wine Bars
HFIu45xr93jqchnN1YVJeQ,indpak,Indian
k0fnJRSV8tzM2bzkvFdlGg,cantonese,Cantonese
IpBG_nY_opO9Zy-xNBEQCg,mexican,Mexican
IpBG_nY_opO9Zy-xNBEQCg,cafes,Cafes
diiUjS6uHvbQRoiWOGKXsA,sushi,Sushi Bars
diiUjS6uHvbQRoiWOGKXsA,japanese,Japanese
diiUjS6uHvbQRoiWOGKXsA,gluten_free,Gluten-Free
5pv5lujKGaWRS1lmLh4HPw,haitian,Haitian
ntuyP7MwZiD7LHg_wW4neQ,cuban,Cuban
ntuyP7MwZiD7LHg_wW4neQ,chinese,Chinese
ntuyP7MwZiD7LHg_wW4neQ,cocktailbars,Cocktail Bars
Z-PSo5FDabBZFfep5l2xRg,modern_european,Modern European
Z-PSo5FDabBZFfep5l2xRg,bars,Bars
Z-PSo5FDabBZFfep5l2xRg,seafood,Seafood
mlGfXoxc8cEss8Yms6VrXg,bbq,Barbeque
mlGfXoxc8cEss8Yms6VrXg,cocktailbars,Cocktail Bars
TwxP5xU_xyzlf7SVzCnpuA,noodles,Noodles
TwxP5xU_xyzlf7SVzCnpuA,ramen,Ramen
TwxP5xU_xyzlf7SVzCnpuA,vegan,Vegan
xrnk8mgoV7up6fauVmugpw,ramen,Ramen
n9vGLAZhWiRGm-hWX6z7-A,turkish,Turkish
n9vGLAZhWiRGm-hWX6z7-A,german,German
Ch_m0ZPPzFJF7oi6dyk1Yw,seafood,Seafood
Ch_m0ZPPzFJF7oi6dyk1Yw,southern,Southern
cF1k0Y1tgCf4AMEaNU3_yA,foodtrucks,Food Trucks
cF1k0Y1tgCf4AMEaNU3_yA,latin,Latin American
wqdFd3DZD_uTXRW784mFkg,taiwanese,Taiwanese
wqdFd3DZD_uTXRW784mFkg,noodles,Noodles
wqdFd3DZD_uTXRW784mFkg,chinese,Chinese
KenUip4W38fN4Ua9WxsohA,cocktailbars,Cocktail Bars
KenUip4W38fN4Ua9WxsohA,tradamerican,American (Traditional)
NAlOPUbFQVE0bUu8_wmBLQ,italian,Italian
Lk3i0mZvzBBYts6BMOozDw,georgian,Georgian
Lk3i0mZvzBBYts6BMOozDw,salad,Salad
Lk3i0mZvzBBYts6BMOozDw,bars,Bars
-KfM32STVYND4v_9l1YRug,chinese,Chinese
-KfM32STVYND4v_9l1YRug,noodles,Noodles
-KfM32STVYND4v_9l1YRug,burgers,Burgers
aWkekCYI9zNA6xDwYEtYpg,asianfusion,Asian Fusion
aWkekCYI9zNA6xDwYEtYpg,dimsum,Dim Sum
aWkekCYI9zNA6xDwYEtYpg,cocktailbars,Cocktail Bars
Ve_YFyWRgtfYz0C0LQB7Xw,food_court,Food Court
Ve_YFyWRgtfYz0C0LQB7Xw,eventplanning,Party & Event Planning
bu7k1pBrfbhGzYao3YoHsg,sushi,Sushi Bars
bu7k1pBrfbhGzYao3YoHsg,japanese,Japanese
L9N9O2u_M9Daby9_myK4Yg,shanghainese,Shanghainese
