name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Wolfgang's Steak House - Park Avenue,Midtown,Steakhouse,$$$,4.7,4.8,4.6,4.5,417,Moderate,Casual Dining,40.7466662,-73.9819629,https://www.kayak.com/New-York-Restaurants-Wolfgang-s-Steak-House-Park-Avenue.101010037.rd.ksp
GAONNURI,Midtown,Korean,$$$,4.7,4.7,4.7,4.8,541,Moderate,Elegant Dining,40.7478213,-73.9878356,https://www.kayak.com/New-York-Restaurants-GAONNURI.101014034.rd.ksp
Tempura Matsui,Midtown,Japanese,$$$,4.9,4.9,5,4.9,101,Moderate,Fine Dining,40.748279,-73.9748775,https://www.kayak.com/New-York-Restaurants-Tempura-Matsui.101012222.rd.ksp
OCabanon,Chelsea,French,$$$,4.2,4.3,4.2,4.1,2327,Moderate,Casual Elegant,40.7487031,-73.9945308,https://www.kayak.com/New-York-Restaurants-OCabanon.100004097.rd.ksp
Royal 35 Steakhouse,Midtown,Steakhouse,$$$,4.7,4.7,4.8,4.7,118,Moderate,Fine Dining,40.7489862,-73.9834638,https://www.kayak.com/New-York-Restaurants-Royal-35-Steakhouse.101015461.rd.ksp
Toledo Restaurant,Midtown,Spanish,$$$,4.7,4.8,4.8,4.7,33,Moderate,Fine Dining,40.7493423,-73.9830385,https://www.kayak.com/New-York-Restaurants-Toledo-Restaurant.101017768.rd.ksp
Hakubai - The Kitano Hotel New York,Midtown,Japanese,$$$,4.5,4.5,4.5,4.2,1574,Low,Casual Elegant,40.749581,-73.9799685,https://www.kayak.com/New-York-Restaurants-Hakubai-The-Kitano-Hotel-New-York.100015557.rd.ksp
Kajitsu,Midtown,Japanese,$$$,4.9,4.8,4.9,4.8,118,Moderate,Fine Dining,40.7497944,-73.9777611,https://www.kayak.com/New-York-Restaurants-Kajitsu.100012632.rd.ksp
La Brochette Kosher Steakhouse,Midtown,Kosher,$$$,4.3,4.4,4.4,4.1,563,Moderate,Fine Dining,40.7498776,-73.9774856,https://www.kayak.com/New-York-Restaurants-La-Brochette-Kosher-Steakhouse.100002272.rd.ksp
The Flatiron Room - Murray Hill,Midtown,American,$$$,4.5,4.3,4.4,4.7,304,Moderate,Casual Elegant,40.7501584,-73.9821945,https://www.kayak.com/New-York-Restaurants-Fine-Rare.100033948.rd.ksp
Benjamin Steakhouse Prime,Midtown,Steakhouse,$$$,4.7,4.7,4.7,4.6,325,Moderate,Casual Elegant,40.7514456,-73.9796474,https://www.kayak.com/New-York-Restaurants-Benjamin-Steakhouse-Prime.101008776.rd.ksp
The Palm Too,Midtown,Steakhouse,$$$,4.4,4.4,4.4,4,9032,Moderate,Fine Dining,40.751462,-73.9706661,https://www.kayak.com/New-York-Restaurants-The-Palm-Too.100047460.rd.ksp
MIFUNE New York,Midtown,French / Japanese,$$$,4.5,4.4,4.6,4.5,94,Moderate,Casual Elegant,40.7516551,-73.9717638,https://www.kayak.com/New-York-Restaurants-MIFUNE-New-York.100042521.rd.ksp
Ben and Jack's Steakhouse 44th Street,Midtown,Steakhouse,$$$,4.5,4.6,4.5,4.3,83,Moderate,Fine Dining,40.7518393,-73.9723304,https://www.kayak.com/New-York-Restaurants-Ben-and-Jack-s-Steakhouse-44th-Street.100040258.rd.ksp
Sushi Ginza Onodera - NYC,Midtown,Sushi,$$$,4.8,4.8,4.8,4.7,2926,Low,Fine Dining,40.7523763,-73.9814434,https://www.kayak.com/New-York-Restaurants-Sushi-Ginza-Onodera-NYC.100030973.rd.ksp
UN Plaza Grill,Midtown,Kosher,$$$,4.5,4.5,4.5,4.5,423,Moderate,Fine Dining,40.7524802,-73.9676576,https://www.kayak.com/New-York-Restaurants-UN-Plaza-Grill.100049512.rd.ksp
Sparks Steak House,Midtown,Steakhouse,$$$,4.6,4.6,4.6,4.6,429,Moderate,Casual Elegant,40.752923,-73.9719424,https://www.kayak.com/New-York-Restaurants-Sparks-Steak-House.100020507.rd.ksp
Barnea Bistro,Midtown,Kosher,$$$,4.9,4.9,4.8,4.7,113,Moderate,Fine Dining,40.7532168,-73.9718218,https://www.kayak.com/New-York-Restaurants-Barnea-Bistro.100052137.rd.ksp
Uncle Jack's Steakhouse - Westside 9th Avenue,Hell's Kitchen,Steakhouse,$$$,4.3,4.4,4.5,4.4,129,Moderate,Casual Elegant,40.753679,-73.995735,https://www.kayak.com/New-York-Restaurants-Uncle-Jack-s-Steakhouse-Westside-9th-Avenue.100011895.rd.ksp
Yamada Chikara NY,Midtown,Japanese,$$$,4.7,4.7,4.9,4.8,225,Low,Casual Elegant,40.7546065,-73.9693821,https://www.kayak.com/New-York-Restaurants-Yamada-Chikara-NY.100051930.rd.ksp
Sea Fire Grill,Midtown,Seafood,$$$,4.8,4.7,4.7,4.6,328,Moderate,Fine Dining,40.7546919,-73.9722216,https://www.kayak.com/New-York-Restaurants-Sea-Fire-Grill.100023075.rd.ksp
Avra Estiatorio on 48th,Midtown,Seafood,$$$,4.5,4.5,4.2,4.2,24594,Moderate,Casual Elegant,40.7550348,-73.9724136,https://www.kayak.com/New-York-Restaurants-Avra-Estiatorio-on-48th.100011770.rd.ksp
Morton's The Steakhouse - Midtown Manhattan,Midtown,Steakhouse,$$$,4.7,4.7,4.7,4.6,195,Moderate,Fine Dining,40.7551604,-73.9785855,https://www.kayak.com/New-York-Restaurants-Morton-s-The-Steakhouse-Midtown-Manhattan.100980702.rd.ksp
Strip House Midtown,Midtown,Steak,$$$,4.6,4.7,4.6,4.6,220,Moderate,Casual Elegant,40.7552982,-73.9806899,https://www.kayak.com/New-York-Restaurants-Strip-House-Midtown.100022932.rd.ksp
Chef's Table at Brooklyn Fare,Hell's Kitchen,French / Japanese,$$$,4.8,4.9,4.8,4.7,312,Moderate,Fine Dining,40.7561213,-73.9965897,https://www.kayak.com/New-York-Restaurants-Chef-s-Table-at-Brooklyn-Fare.100963802.rd.ksp
Chazz Palminteri Italian Restaurant,Midtown,Italian,$$$,4.6,4.6,4.6,4.5,262,Moderate,Fine Dining,40.7564645,-73.980563,https://www.kayak.com/New-York-Restaurants-Chazz-Palminteri-Italian-Restaurant.100025807.rd.ksp
The Lambs Club,Midtown,Contemporary American,$$$,4.3,4.1,4.3,4.4,9701,Moderate,Casual Dining,40.756616,-73.9845926,https://www.kayak.com/New-York-Restaurants-The-Lambs-Club.100964780.rd.ksp
Bobby Van's Grill Times Square,Midtown,Steakhouse,$$$,4.7,4.6,4.7,4.3,94,Moderate,Casual Dining,40.7570272,-73.983916,https://www.kayak.com/New-York-Restaurants-Bobby-Van-s-Grill-Times-Square.100049462.rd.ksp
The Capital Grille - NY - Rockefeller Center,Midtown,Steakhouse,$$$,4.8,4.8,4.8,4.7,290,Moderate,Fine Dining,40.7587402,-73.9786736,https://www.kayak.com/New-York-Restaurants-The-Capital-Grille-NY-Rockefeller-Center.100012544.rd.ksp
Del Frisco's Double Eagle Steakhouse - New York City,Midtown,Steakhouse,$$$,4.6,4.6,4.6,4.6,891,Moderate,Fine Dining,40.7593243,-73.9816604,https://www.kayak.com/New-York-Restaurants-Del-Frisco-s-Double-Eagle-Steakhouse-New-York-City.100014892.rd.ksp
Mike's Bistro - UES,Midtown,Kosher,$$$,4.8,4.8,4.9,4.7,77,Moderate,Fine Dining,40.7594553,-73.9710257,https://www.kayak.com/New-York-Restaurants-Mike-s-Bistro-UES.100005102.rd.ksp
Bob's Steak & Chop House - New York,Midtown,Steakhouse,$$$,4.5,4.4,4.6,4.3,1044,Low,Casual Elegant,40.7594554,-73.9750815,https://www.kayak.com/New-York-Restaurants-Bob-s-Steak-Chop-House-New-York.100032606.rd.ksp
Limani - NYC,Midtown,Mediterranean,$$$,4.6,4.6,4.6,4.7,505,Moderate,Fine Dining,40.7596918,-73.978275,https://www.kayak.com/New-York-Restaurants-Limani-NYC.101013446.rd.ksp
Empellon Midtown,Midtown,Contemporary Mexican,$$$,4.5,4.5,4.5,4.4,7467,Moderate,Casual Dining,40.7597022,-73.9746995,https://www.kayak.com/New-York-Restaurants-Empellon-Midtown.100038361.rd.ksp
The Theater Buffet,Hell's Kitchen,International,$$$,3.7,3.6,3.9,4,110,Moderate,Casual Dining,40.7601956,-73.9878844,https://www.kayak.com/New-York-Restaurants-The-Theater-Buffet.100049813.rd.ksp
San Pietro,Midtown,Italian,$$$,4.6,4.6,4.8,4.7,70,Moderate,Casual Elegant,40.7602607,-73.9744133,https://www.kayak.com/New-York-Restaurants-San-Pietro.100030367.rd.ksp
Upstairs at '21',Midtown,American,$$$,4.6,4.6,4.7,4.6,396,Low,Fine Dining,40.7604522,-73.9774394,https://www.kayak.com/New-York-Restaurants-Upstairs-at-21-.100032371.rd.ksp
Lattanzi,Hell's Kitchen,Italian,$$$,4.6,4.6,4.6,4.6,385,Moderate,Casual Elegant,40.7605821,-73.9901543,https://www.kayak.com/New-York-Restaurants-Lattanzi.100017570.rd.ksp
Sushi of Gari 46,Hell's Kitchen,Japanese,$$$,4.8,4.8,4.8,4.5,180,Moderate,Fine Dining,40.7606902,-73.9895916,https://www.kayak.com/New-York-Restaurants-Sushi-of-Gari-46.100010399.rd.ksp
The Capital Grille - NY – Chrysler Center,Midtown,Steakhouse,$$$,4.8,4.7,4.8,4.7,302,Moderate,Fine Dining,40.760861,-73.981057,https://www.kayak.com/New-York-Restaurants-The-Capital-Grille-NY-Chrysler-Center.100013249.rd.ksp
44 & X,Hell's Kitchen,American,$$$,4.5,4.5,4.4,4.3,8457,Moderate,Casual Elegant,40.7609658,-73.994264,https://www.kayak.com/New-York-Restaurants-44-X.100000962.rd.ksp
Mastro's Steakhouse - New York City,Midtown,Steak,$$$,4.6,4.7,4.6,4.6,521,Moderate,Fine Dining,40.7611039,-73.9801635,https://www.kayak.com/New-York-Restaurants-Mastro-s-Steakhouse-New-York-City.101012876.rd.ksp
Ocean Prime - New York,Midtown,Seafood,$$$,4.8,4.7,4.8,4.7,859,Moderate,Fine Dining,40.7617438,-73.9805565,https://www.kayak.com/New-York-Restaurants-Ocean-Prime-New-York.101016336.rd.ksp
Churrascaria Plataforma Brazilian Steakhouse,Hell's Kitchen,Brazilian Steakhouse,$$$,4.5,4.5,4.5,4.5,273,Moderate,Casual Elegant,40.7619155,-73.9877325,https://www.kayak.com/New-York-Restaurants-Churrascaria-Plataforma-Brazilian-Steakhouse.101054345.rd.ksp
Il Tinello - West 56th St,Midtown,Italian,$$$,4.9,4.9,4.9,4.8,203,Moderate,Casual Elegant,40.7626757,-73.9756204,https://www.kayak.com/New-York-Restaurants-Il-Tinello.100021780.rd.ksp
Estiatorio Milos – Midtown New York,Midtown,Seafood,$$$,4.8,4.8,4.7,4.6,1265,Moderate,Fine Dining,40.7636288,-73.9791548,https://www.kayak.com/New-York-Restaurants-Estiatorio-Milos-Midtown-New-York.100960438.rd.ksp
Nobu Fifty Seven,Midtown,Japanese,$$$,4.8,4.8,4.7,4.6,1329,Moderate,Casual Elegant,40.763705,-73.9762452,https://www.kayak.com/New-York-Restaurants-Nobu-Fifty-Seven.100015343.rd.ksp
Il Mulino New York - Uptown,Upper East Side,Italian,$$$,4.6,4.6,4.7,4.6,172,Moderate,Fine Dining,40.7641024,-73.9702399,https://www.kayak.com/New-York-Restaurants-Il-Mulino-New-York-Uptown.101014013.rd.ksp
Harry Cipriani,Upper East Side,Italian,$$$,4.7,4.6,4.6,4.6,516,Moderate,Fine Dining,40.7643866,-73.972705,https://www.kayak.com/New-York-Restaurants-Harry-Cipriani.100980854.rd.ksp
Avra Madison Estiatorio on 60th,Upper East Side,Mediterranean,$$$,4.7,4.7,4.6,4.7,22408,Moderate,Casual Elegant,40.7644065,-73.9717268,https://www.kayak.com/New-York-Restaurants-Avra-Madison-Estiatorio-on-60th.100031540.rd.ksp
Empire Steakhouse - 237 West 54 Street off of Broadway,Midtown,Steakhouse,$$$,4.6,4.7,4.7,4.4,116,Moderate,Fine Dining,40.7644256,-73.9831208,https://www.kayak.com/New-York-Restaurants-Empire-Steakhouse-237-West-54-Street-off-of-Broadway.101009572.rd.ksp
Print Restaurant,Hell's Kitchen,Unspecified,$$$,4.5,4.4,4.5,4.6,117,Moderate,Casual Elegant,40.764568,-73.995992,https://www.kayak.com/New-York-Restaurants-Print-Restaurant.100014053.rd.ksp
La Goulue New York,Upper East Side,French,$$$,4.8,4,4.8,4.7,386,Moderate,Elegant Dining,40.7648,-73.9699213,https://www.kayak.com/New-York-Restaurants-La-Goulue.100046828.rd.ksp
Gabriel's Bar & Restaurant,Midtown,Italian,$$$,4.8,4.8,4.8,4.8,108,Moderate,Fine Dining,40.7651362,-73.9757026,https://www.kayak.com/New-York-Restaurants-Gabriel-s-Bar-Restaurant.100949702.rd.ksp
Tuscany Steakhouse,Midtown,Steakhouse,$$$,4.7,4.8,4.8,4.5,92,Moderate,Casual Dining,40.7654611,-73.9772654,https://www.kayak.com/New-York-Restaurants-Tuscany-Steakhouse.101008849.rd.ksp
The Pembroke Room - The Lowell New York,Upper East Side,Contemporary American,$$$,4.5,4.3,4.5,4.6,1356,Low,Fine Dining,40.7657388,-73.9692216,https://www.kayak.com/New-York-Restaurants-The-Pembroke-Room-The-Lowell-New-York.100015583.rd.ksp
Café Pierre,Upper East Side,French,$$$,4,4.4,4,4,1,Low,Casual Dining,40.7671831,-73.9720578,https://www.kayak.com/New-York-Restaurants-Cafe-Pierre.100848137.rd.ksp
Bar Masa,Upper West Side,Japanese,$$$,4.8,3.5,4.9,4.7,211,Moderate,Fine Dining,40.7688151,-73.9827737,https://www.kayak.com/New-York-Restaurants-Bar-Masa.100036398.rd.ksp
Porter House Bar and Grill,Midtown,American,$$$,4.6,4.6,4.5,4.6,464,Moderate,Casual Elegant,40.768882,-73.98263,https://www.kayak.com/New-York-Restaurants-Porter-House-Bar-and-Grill.100019419.rd.ksp
YEFSI,Upper East Side,Greek,$$$,4.4,4.4,4.3,4.2,109,Moderate,Casual Dining,40.7710056,-73.9509459,https://www.kayak.com/New-York-Restaurants-YEFSI.100019922.rd.ksp
Sushi of Gari - Upper East Side,Upper East Side,Japanese,$$$,4.5,4.6,4.2,3.5,5489,Moderate,Fine Dining,40.7713448,-73.95278,https://www.kayak.com/New-York-Restaurants-Sushi-of-Gari-Upper-East-Side.100010874.rd.ksp
Boulud Sud,Upper West Side,Mediterranean,$$$,4.5,4.5,4.4,4.3,21437,Moderate,Casual Elegant,40.7717888,-73.9814454,https://www.kayak.com/New-York-Restaurants-Boulud-Sud.100018096.rd.ksp
Orsay,Upper East Side,French,$$$,4.7,4.6,4.7,4.7,449,Moderate,Casual Elegant,40.7724091,-73.9605564,https://www.kayak.com/New-York-Restaurants-Orsay.101010094.rd.ksp
The Grand Tier Restaurant,Upper West Side,American,$$$,4.7,4.5,4.7,4.8,219,Moderate,Fine Dining,40.7727536,-73.9838608,https://www.kayak.com/New-York-Restaurants-The-Grand-Tier-Restaurant.101018034.rd.ksp
Caravaggio New York,Upper East Side,Italian,$$$,4.8,4.8,4.8,4.7,166,Moderate,Fine Dining,40.7733732,-73.9647547,https://www.kayak.com/New-York-Restaurants-Caravaggio-New-York.100983750.rd.ksp
Armani Ristorante 5th Avenue,Midtown,Italian,$$$,4.9,4.8,4.9,4.9,93,Moderate,Fine Dining,40.7744146,-73.9656177,https://www.kayak.com/New-York-Restaurants-Armani-Ristorante-5th-Avenue.100012921.rd.ksp
Kappo Masa,Upper East Side,Japanese,$$$,4.6,4.7,4.6,4.7,172,Moderate,Casual Elegant,40.7746686,-73.9635421,https://www.kayak.com/New-York-Restaurants-Kappo-Masa.100006130.rd.ksp
Sugar Factory Broadway,Upper West Side,American,$$$,3.8,3.7,3.8,3.8,10900,Moderate,Casual Dining,40.7752266,-73.9826067,https://www.kayak.com/New-York-Restaurants-Sugar-Factory-Broadway.101028307.rd.ksp
Sant Ambroeus - Madison Avenue,Upper East Side,Italian,$$$,4.6,4.5,4.5,4.4,4916,Moderate,Casual Elegant,40.7754041,-73.9629918,https://www.kayak.com/New-York-Restaurants-Sant-Ambroeus-Madison-Avenue.100005011.rd.ksp
Sushi Kaito,Upper West Side,Sushi,$$$,4.9,5,4.9,4.7,148,Moderate,Casual Dining,40.7791774,-73.9836409,https://www.kayak.com/New-York-Restaurants-Sushi-Kaito.101011991.rd.ksp
Sushi of Gari - Columbus Avenue,Upper West Side,Sushi,$$$,4.8,4.8,4.7,4.3,170,Moderate,Fine Dining,40.7811711,-73.9763398,https://www.kayak.com/New-York-Restaurants-Sushi-of-Gari-Columbus-Avenue.100014834.rd.ksp
Sushi Inoue,Harlem,Sushi,$$$,4.5,4.7,4.5,4.1,932,Low,Fine Dining,40.8108361,-73.9435614,https://www.kayak.com/New-York-Restaurants-Sushi-Inoue.100042901.rd.ksp
