name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Boqueria UES,Upper East Side,Tapas / Small Plates,$$,4.5,4.5,4.3,4.4,72,Moderate,Casual Elegant,40.7715096,-73.956073,https://www.kayak.com/New-York-Restaurants-Boqueria-UES.100009702.rd.ksp
Come Prima Ristorante,Upper East Side,Italian,$$,4.6,4.6,4.6,4.5,842,Moderate,Casual Elegant,40.772125,-73.965012,https://www.kayak.com/New-York-Restaurants-Come-Prima-Ristorante.100039348.rd.ksp
Tavern on the Green,Central Park,American,$$,4.6,4.5,4.6,4.7,2004,Moderate,Casual Elegant,40.7722597,-73.9776896,https://www.kayak.com/New-York-Restaurants-Tavern-on-the-Green.101015956.rd.ksp
Quality Eats Upper East Side,Upper East Side,American,$$,4.6,4.5,4.5,4.3,330,Moderate,Casual Dining,40.7724775,-73.9554399,https://www.kayak.com/New-York-Restaurants-Quality-Eats-Upper-East-Side.100054832.rd.ksp
Atlantic Grill Near Lincoln Center,Upper West Side,Seafood,$$,4.2,4.2,4.2,4.1,22951,Moderate,Casual Elegant,40.7724966,-73.9811104,https://www.kayak.com/New-York-Restaurants-Atlantic-Grill-Near-Lincoln-Center.100016188.rd.ksp
Joanne Trattoria,Upper West Side,Italian,$$,4.2,4.2,4.3,4.2,173,Moderate,Casual Dining,40.7745302,-73.9802971,https://www.kayak.com/New-York-Restaurants-Joanne-Trattoria.100000555.rd.ksp
Felice 83,Upper East Side,Italian,$$,4.5,4.4,4.3,4.4,3327,Moderate,Casual Dining,40.7749003,-73.9510928,https://www.kayak.com/New-York-Restaurants-Felice-83.100019127.rd.ksp
Pitchounette81,Upper East Side,French,$$,4.5,4.4,4.5,4.3,289,Low,Casual Dining,40.774949,-73.9543744,https://www.kayak.com/New-York-Restaurants-Pitchounette81.100049960.rd.ksp
Central Park Boathouse,Upper East Side,American,$$,4.5,4.3,4.4,4.7,869,Moderate,Casual Elegant,40.7752927,-73.9687693,https://www.kayak.com/New-York-Restaurants-Central-Park-Boathouse.101016886.rd.ksp
Sole Bistro Italiano,Upper West Side,Italian,$$,4.2,4.2,4.2,4,742,Moderate,Casual Elegant,40.7758988,-73.9818528,https://www.kayak.com/New-York-Restaurants-Sole-Bistro-Italiano.100017301.rd.ksp
Manny's Bistro,Upper West Side,French,$$,4.3,4.3,4.2,4.2,3624,Moderate,Casual Dining,40.7762456,-73.9794042,https://www.kayak.com/New-York-Restaurants-Manny-s-Bistro.100952012.rd.ksp
Toloache - Upper East Side,Upper East Side,Mexican,$$,4.7,4.7,4.7,4.4,304,Moderate,Casual Dining,40.7764768,-73.9566862,https://www.kayak.com/New-York-Restaurants-Toloache-Upper-East-Side.100036326.rd.ksp
