id,category_alias,category_title
f9SUJZ_LSZGZKg0L27edTQ,burgers,Burgers
SNTBdiEi55Zvt3qa4AAEJg,sushi,Sushi Bars
SNTBdiEi55Zvt3qa4AAEJg,steak,Steakhouses
2n2ydraYvrGQsqU_h9YSBA,italian,Italian
3jivt3RU-HlUZfk6I2kaqw,steak,Steakhouses
3jivt3RU-HlUZfk6I2kaqw,portuguese,Portuguese
3jivt3RU-HlUZfk6I2kaqw,bbq,Barbeque
hQB3SrB-AZuRYNpgZ_NIJw,turkish,Turkish
hQB3SrB-AZuRYNpgZ_NIJw,mediterranean,Mediterranean
hQB3SrB-AZuRYNpgZ_NIJw,seafood,Seafood
kGQfjukYipNRLuk2pnqTLw,steak,Steakhouses
kGQfjukYipNRLuk2pnqTLw,cocktailbars,Cocktail Bars
kGQfjukYipNRLuk2pnqTLw,newamerican,American (New)
181imuEPe2s7FwwP1P5eQA,thai,Thai
0xl3JnEgbA4P6KKfJYup6w,breakfast_brunch,Breakfast & Brunch
0xl3JnEgbA4P6KKfJYup6w,tapasmallplates,Tapas/Small Plates
0xl3JnEgbA4P6KKfJYup6w,speakeasies,Speakeasies
qn9dgCRGNjHKDGilBamkiw,thai,Thai
qn9dgCRGNjHKDGilBamkiw,noodles,Noodles
-sHKV6VjYGRha8BstAoWbw,pizza,Pizza
-sHKV6VjYGRha8BstAoWbw,italian,Italian
GvXRLqZKw6vC8zBCDXnyhQ,italian,Italian
I9WdJn49zYlqTBpKWc_9Ow,cuban,Cuban
I9WdJn49zYlqTBpKWc_9Ow,desserts,Desserts
I9WdJn49zYlqTBpKWc_9Ow,soup,Soup
Exlgsnzm5KjkooYE7AH3Uw,mexican,Mexican
S92X8XvPVnQcqh7Mcp69DQ,pizza,Pizza
S92X8XvPVnQcqh7Mcp69DQ,italian,Italian
S92X8XvPVnQcqh7Mcp69DQ,chicken_wings,Chicken Wings
Nk2BdPhLB8WriGnFoaNG3Q,tradamerican,American (Traditional)
Nk2BdPhLB8WriGnFoaNG3Q,gastropubs,Gastropubs
6mCqJUpV16kkmeZ1-mLXBg,mexican,Mexican
Mu8MCycvAuCWhCX_E8DSjQ,mexican,Mexican
Mu8MCycvAuCWhCX_E8DSjQ,tex-mex,Tex-Mex
ayh9M3Lmc8Zxa7wsvKH55Q,italian,Italian
-TDMW5TWfFlnnRgQZ71yeg,breakfast_brunch,Breakfast & Brunch
-TDMW5TWfFlnnRgQZ71yeg,tradamerican,American (Traditional)
-TDMW5TWfFlnnRgQZ71yeg,seafood,Seafood
0yQg0_dRxztbeQLbDWSRsA,halal,Halal
0yQg0_dRxztbeQLbDWSRsA,foodtrucks,Food Trucks
0yQg0_dRxztbeQLbDWSRsA,streetvendors,Street Vendors
YqXl2aa7XCaP3VgXkU9x-g,breakfast_brunch,Breakfast & Brunch
YqXl2aa7XCaP3VgXkU9x-g,coffee,Coffee & Tea
T-5fbqSZ06909tza1folTg,french,French
BdEj_YlI93C20PPLGwS0pg,pizza,Pizza
